leeyes_id,category,feature_name,baseline_status,decision_status,delivery_status,size,priority_tier,priority_rank,priority_reason,requirement_ids,acceptance_ref,implementation_refs,test_refs,verification_refs,dependencies,risk_notes,updated_at,delivery_ref
LEY-SHELL-001,シェル,3ペイン画面,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-002,シェル,メインバー,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-003,シェル,イメージバー,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-004,シェル,シークバー,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-005,シェル,ステータスバー,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-006,シェル,アドレスバー,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-007,シェル,一覧位置変更,Missing,Selected,NotStarted,L,P4,12,永続化を伴う大型layout変更,,,,,,レイアウト永続化,,2026-08-21,
LEY-SHELL-008,シェル,Viewer分離,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-009,シェル,全画面表示,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-010,シェル,全画面端UI,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-011,シェル,ペイン表示切替,Equivalent,NoAction,Existing,NA,,,,,,,,,,,2026-08-20,
LEY-SHELL-012,シェル,バー・メニュー表示切替,Partial,Selected,Published,M,P1,1,既存UI上のPartialを先に完成,REQ-LEY-P1-001,docs/current/requirements.md#leeyes-p1-a-即効改善の受入条件,src/App.tsx;src/features/workspace/display.ts;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs,src/App.test.tsx;src/features/workspace/display.test.ts;src/features/settings/profile.test.ts;src-tauri/src/state/repository.rs,docs/current/verification.md#leeyes-p1-a-即効改善;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,設定UI,,2026-08-21,SELF
LEY-SHELL-013,シェル,常に手前,Missing,Selected,Published,S,P1,11,利用頻度が高い独立S機能,REQ-LEY-P1-002,docs/current/requirements.md#leeyes-p1-a-即効改善の受入条件,src/App.tsx;src/features/workspace/window.ts;src/features/settings/SettingsDialog.tsx;src/features/settings/profile.ts;src-tauri/capabilities/default.json;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs,src/App.test.tsx;src/features/workspace/window.test.ts;src/features/settings/profile.test.ts;src-tauri/src/application/mod.rs;src-tauri/src/state/repository.rs,docs/current/verification.md#leeyes-p1-a-即効改善;Windows tests PASS;Rust canonical PASS;Windows build PASS;CoDD PASS,Tauri window API,,2026-08-21,SELF
